SC,名称,株価
1301,極洋,3335
1332,日本水産,614
1333,マルハニチロ,3265
1352,ホウスイ,125
1376,カネコ種苗,1506
1377,サカタのタネ,3225
1379,ホクト,1931
1380,秋川牧園,601
1381,アクシーズ,3340
1382,ホーブ,991
1383,ベルグアース,1395
1384,ホクリヨウ,919
1400,ルーデン・ホールディングス,223
1401,エムビーエス,603
1407,ウエストホールディングス,738
1408,サムシングホールディングス,475
1413,桧家ホールディングス,2109
1414,ショーボンドホールディングス,6270
1417,ミライト・ホールディングス,1301
1418,インターライフホールディングス,260
1419,タマホーム,715
1420,サンヨーホームズ,639
1429,日本アクア,461
1430,ファーストコーポレーション,1154
1431,エスケーホーム,1160
1433,ベステラ,1998
1434,JESCOホールディングス,451
1435,インベスターズクラウド,6500
1436,フィット,1258
1438,岐阜造園,1390
1439,安江工務店,1497
1491,中外鉱業,32
1514,住石ホールディングス,113
1515,日鉄鉱業,8040
1518,三井松島産業,1458
1605,国際石油開発帝石,1091.5
1606,日本海洋掘削,2058
1662,石油資源開発,2142
1663,K＆Oエナジーグループ,1810
1711,省電舎ホールディングス,706
1712,ダイセキ環境ソリューション,1300
1716,第一カッター興業,1183
1717,明豊ファシリティワークス,363
1718,美樹工業,4360
1719,安藤・間,749
1720,東急建設,879
1721,コムシスホールディングス,2533
1722,ミサワホーム,933
1723,日本電技,2850
1724,シンクレイヤ,473
1726,ビーアールホールディングス,403
1728,ミサワホーム中国,296
1730,麻生フオームクリート,363
1734,北弘電社,385
1736,オーテック,1456
1737,三井金属エンジニアリング,1275
1738,NITTOH,524
1739,シード平和,1685
1743,コーアツ工業,2709
1757,クレアホールディングス,28
1758,太洋基礎工業,1076
1762,高松コンストラクショングループ,2988
1764,工藤建設,247
1766,東建コーポレーション,13420
1768,ソネック,853
1770,藤田エンジニアリング,698
1771,日本乾溜工業,503
1773,ワイ・ティー・エル・コーポレーション・バーハッド,37
1775,富士古河E＆C,371
1776,三井住建道路,300
1777,川崎設備工業,450
1780,ヤマウラ,1014
