日付,基準価額_1305,出来高_1305,純資産総額_1305,基準価額_1306,出来高_1306,純資産総額_1306
2007-01-31,1751,1786500,381853241121,1735,49432400,892140000000
2007-02-28,1780,3108500,339551129831,1766,61055500,830110000000
2007-03-30,1755,3752100,337321072937,1743,87488900,911290000000
2007-04-27,1741,2544500,334898668403,1727,52451600,1027280000000
2007-05-31,1794,3032900,345908284572,1783,46227900,1071590000000
2007-06-29,1816,2765100,371642920737,1800,54478000,1065770000000
2007-07-31,1727,3337900,367256408422,1716,61033400,960480000000
2007-08-31,1628,4578700,343131693731,1619,80043700,894370000000
2007-09-28,1651,1770200,346712193070,1639,39599200,913270000000
2007-10-31,1649,2160500,367281720923,1637,38366800,917250000000
2007-11-30,1562,2631700,381641282925,1549,55932800,918770000000
2007-12-28,1500,1828500,391842896623,1490,42027500,887850000000
2008-01-31,1376,3230400,409370632800,1368,78481100,804910000000
2008-02-29,1350,3653800,418916489288,1342,75869700,794740000000
2008-03-31,1247,4554800,419704488750,1238,69639300,667900000000
2008-04-30,1397,3111300,420122984373,1388,64670900,758120000000
2008-05-30,1451,5009600,432518937295,1436,55917300,812710000000
2008-06-30,1357,3704500,397757428106,1347,65371900,786870000000
2008-07-31,1324,2428700,386408875860,1317,62109000,841820000000
2008-08-29,1272,2412800,372075972790,1267,61016300,825760000000
2008-09-30,1115,5896100,336115407135,1111,56055150,749320000000
2008-10-31,885,10029800,262500808147,882,155470180,642580000000
2008-11-28,854,5584200,246394276197,851,66045520,600310000000
2008-12-30,883,6346900,253864591682,883,52628970,617620000000
2009-01-30,811,4242100,220081541400,813,54319780,613420000000
2009-02-27,771,3877700,186983457625,773,51751340,600170000000
2009-03-31,801,10557500,182115212877,797,76219040,585520000000
2009-04-30,867,4452900,202373790273,866,75111930,595710000000
2009-05-29,925,3693100,216737049240,922,52813230,663150000000
2009-06-30,962,15892900,188109498915,956,59282700,671050000000
2009-07-31,953,5000300,184771328693,956,55239790,654560000000
2009-08-31,968,9764200,189652964428,974,53426780,629120000000
2009-09-30,914,7202800,179905922437,921,46361520,569300000000
2009-10-30,902,2813400,194841597895,908,56945740,549010000000
